Edad;TantoPorMil;TantoPor1;TantoPor1Sem;MortVIH
15;0.167544;0.000167544;3.22E-06;1.38E-04
16;0.172994;0.000172994;3.33E-06;1.38E-04
17;0.187314;0.000187314;3.60E-06;1.38E-04
18;0.266499;0.000266499;5.12E-06;1.40E-04
19;0.307371;0.000307371;5.91E-06;1.41E-04
20;0.325727;0.000325727;6.26E-06;1.41E-04
21;0.348546;0.000348546;6.70E-06;1.41E-04
22;0.378299;0.000378299;7.27E-06;1.42E-04
23;0.33359;0.00033359;6.42E-06;1.41E-04
24;0.309109;0.000309109;5.94E-06;1.41E-04
25;0.380964;0.000380964;7.33E-06;1.42E-04
26;0.410639;0.000410639;7.90E-06;1.43E-04
27;0.387526;0.000387526;7.45E-06;1.42E-04
28;0.400288;0.000400288;7.70E-06;1.42E-04
29;0.438216;0.000438216;8.43E-06;1.43E-04
30;0.479849;0.000479849;9.23E-06;1.44E-04
31;0.403287;0.000403287;7.76E-06;1.42E-04
32;0.486685;0.000486685;9.36E-06;1.44E-04
33;0.563847;0.000563847;1.08E-05;1.45E-04
34;0.620892;0.000620892;1.19E-05;1.47E-04
35;0.594212;0.000594212;1.14E-05;1.46E-04
36;0.66942;0.00066942;1.29E-05;1.48E-04
37;0.639463;0.000639463;1.23E-05;1.47E-04
38;0.717609;0.000717609;1.38E-05;1.48E-04
39;0.876083;0.000876083;1.68E-05;1.51E-04
40;0.886145;0.000886145;1.70E-05;1.52E-04
41;1.099.378;0.001099378;2.11E-05;1.56E-04
42;1.331.738;0.001331738;2.56E-05;1.60E-04
43;1.402.601;0.001402601;2.70E-05;1.62E-04
44;1.622.813;0.001622813;3.12E-05;1.66E-04
45;1.942.228;0.001942228;3.74E-05;1.72E-04
46;2.103.963;0.002103963;4.05E-05;1.75E-04
47;2.379.134;0.002379134;4.58E-05;1.80E-04
48;2.639.669;0.002639669;5.08E-05;1.85E-04
49;3.061.817;0.003061817;5.89E-05;1.94E-04
50;3.320.692;0.003320692;6.39E-05;5.00E-04
51;3.756.499;0.003756499;7.22E-05;5.09E-04
52;4.310.994;0.004310994;8.29E-05;5.19E-04
53;4.357.854;0.004357854;8.38E-05;5.20E-04
54;490.038;0.00490038;9.42E-05;5.31E-04
55;5.497.071;0.005497071;1.06E-04;5.43E-04
56;6.128.665;0.006128665;1.18E-04;5.55E-04
57;6.509.167;0.006509167;1.25E-04;5.62E-04
58;6.916.469;0.006916469;1.33E-04;5.70E-04
59;7.610.153;0.007610153;1.46E-04;5.83E-04
60;8.641.425;0.008641425;1.66E-04;6.03E-04
61;9.009.193;0.009009193;1.73E-04;6.10E-04
62;9.490.563;0.009490563;1.83E-04;6.20E-04
63;11.001.643;0.011001643;2.12E-04;6.49E-04
64;118.718;0.0118718;2.28E-04;6.65E-04
65;13.254.447;0.013254447;2.55E-04;6.92E-04
66;13.200.434;0.013200434;2.54E-04;6.91E-04
67;14.340.396;0.014340396;2.76E-04;7.13E-04
68;15.375;0.015375;2.96E-04;7.33E-04
69;17.252.764;0.017252764;3.32E-04;7.69E-04
70;19.494.138;0.019494138;3.75E-04;8.12E-04
71;19.273.658;0.019273658;3.71E-04;8.08E-04
72;21.968.913;0.021968913;4.22E-04;8.59E-04
73;25.323.278;0.025323278;4.87E-04;9.24E-04
74;27.541.651;0.027541651;5.30E-04;9.67E-04
75;3.145.298;0.03145298;6.05E-04;1.04E-03
76;33.461.131;0.033461131;6.43E-04;1.08E-03
77;37.399.581;0.037399581;7.19E-04;1.16E-03
78;41.379.173;0.041379173;7.96E-04;1.23E-03
79;47.616.008;0.047616008;9.16E-04;1.35E-03
80;52.446.312;0.052446312;1.01E-03;1.45E-03
81;57.471.624;0.057471624;1.11E-03;1.55E-03
82;65.765.187;0.065765187;1.26E-03;1.70E-03
83;74.248.265;0.074248265;1.43E-03;1.87E-03
84;83.274.795;0.083274795;1.60E-03;2.04E-03
85;92.775.106;0.092775106;1.78E-03;2.22E-03
86;105.019.405;0.105019405;2.02E-03;2.46E-03
87;115.117.479;0.115117479;2.21E-03;2.65E-03
88;131.204.504;0.131204504;2.52E-03;2.96E-03
89;142.720.116;0.142720116;2.74E-03;3.18E-03
90;159.313.143;0.159313143;3.06E-03;3.50E-03
91;170.405.749;0.170405749;3.28E-03;3.72E-03
92;187.593.542;0.187593542;3.61E-03;4.05E-03
93;20.020.075;0.20020075;3.85E-03;4.29E-03
94;207.962.624;0.207962624;4.00E-03;4.44E-03
95;232.591.864;0.232591864;4.47E-03;4.91E-03
96;242.837.811;0.242837811;4.67E-03;5.11E-03
97;257.274.574;0.257274574;4.95E-03;5.39E-03
98;267.807.183;0.267807183;5.15E-03;5.59E-03
99;272.570.642;0.272570642;5.24E-03;5.68E-03
100;1,000.00;1;1.92E-02;1.96E-02
